issue_id,original_cid,first_detected,severity,component,function,impact,abk_classification,name_with_cid
241,15518,02/13/24,Critical,Other,R_ST_IterateLayerMask,High,Suspicious,CID15518-Out-of-bounds access
242,15496,02/13/24,Critical,Other,Command_MaxPageCount,High,Suspicious,CID15496-Out-of-bounds read
243,15143,02/13/24,Critical,Other,DB_BinaryPatch_BeginLoad,High,Suspicious,CID15143-Out-of-bounds read
244,15131,02/13/24,Critical,Other,XAnimProceduralBonesAllocator_AllocateInstance,High,Suspicious,CID15131-Out-of-bounds access
245,15101,02/13/24,Critical,Other,AddElement,High,Suspicious,CID15101-Out-of-bounds write
246,15071,02/13/24,Critical,Other,LoadDynamicPathNodeDeclarationFile,Low,Suspicious,CID15071-Copy into fixed size buffer
247,15037,02/13/24,Critical,Other,AddFriendCallback,High,Suspicious,CID15037-Out-of-bounds access
248,14957,02/13/24,Critical,Other,G_Objectives_GetObjectiveIndexFromPSIndex,High,Suspicious,CID14957-Out-of-bounds read
249,14739,02/13/24,Critical,Other,WaterDynamics_WriteInstances,Medium,Suspicious,CID14739-Incorrect sizeof expression
250,14712,02/13/24,Critical,Other,CG_SnapshotMP_UpdateScore,High,Suspicious,CID14712-Out-of-bounds read
